SchemeName,State,Date,Total
Number of applications for Agriculture Schemes,TS,29-05-2019,1019534
Number of applications for Agriculture Schemes,TS,30-05-2019,696232
Number of applications for Agriculture Schemes,TS,31-05-2019,723916
Number of applications for Agriculture Schemes,TS,01-06-2019,955687
Number of applications for Agriculture Schemes,TS,02-06-2019,835319
Number of applications for Agriculture Schemes,TS,03-06-2019,13423
Number of applications for Agriculture Schemes,KA,04-06-2019,12440
Number of applications for Agriculture Schemes,KA,05-06-2019,163511
Number of applications for Agriculture Schemes,KA,06-06-2019,22172
Number of applications for Agriculture Schemes,KA,07-06-2019,22642
Number of applications for Agriculture Schemes,KA,08-06-2019,19942
Number of applications for Agriculture Schemes,KA,09-06-2019,22860
Number of applications for Agriculture Schemes,KA,10-06-2019,21789
Number of applications for Agriculture Schemes,KA,11-06-2019,18717
Number of applications for Agriculture Schemes,KA,12-06-2019,21348
Number of applications for Agriculture Schemes,KA,13-06-2019,22079
Number of applications for Agriculture Schemes,KA,14-06-2019,23181
Number of applications for Agriculture Schemes,KA,15-06-2019,11372
Number of applications for Agriculture Schemes,KA,16-06-2019,17683
Number of applications for Agriculture Schemes,KA,17-06-2019,18359
Number of applications for Agriculture Schemes,KA,18-06-2019,24797
Number of applications for Agriculture Schemes,KA,19-06-2019,22465
Number of applications for Agriculture Schemes,KA,20-06-2019,20261
Number of applications for Agriculture Schemes,KA,21-06-2019,23822
Number of applications for Agriculture Schemes,KA,22-06-2019,23278
Number of applications for Agriculture Schemes,KA,23-06-2019,20369
Number of applications for Agriculture Schemes,KA,24-06-2019,19823
Number of applications for Agriculture Schemes,KA,25-06-2019,16407
Number of applications for Agriculture Schemes,KA,26-06-2019,61254
Number of applications for Agriculture Schemes,KA,27-06-2019,5614
Number of applications for Agriculture Schemes,KA,28-06-2019,7245
Number of applications for Agriculture Schemes,KA,29-06-2019,8061
Number of applications for Agriculture Schemes,KA,30-06-2019,11094
Number of applications for Agriculture Schemes,KA,01-07-2019,10396
Number of applications for Agriculture Schemes,KA,02-07-2019,20993
Number of applications for Agriculture Schemes,KA,03-07-2019,21175
Number of applications for Agriculture Schemes,KA,04-07-2019,19220
Number of applications for Agriculture Schemes,KA,05-07-2019,16422
Number of applications for Agriculture Schemes,KA,06-07-2019,15598
Number of applications for Agriculture Schemes,KA,07-07-2019,13631
Number of applications for Agriculture Schemes,TN,08-07-2019,17832
Number of applications for Agriculture Schemes,TN,09-07-2019,11493
Number of applications for Agriculture Schemes,TN,10-07-2019,12455
Number of applications for Agriculture Schemes,TN,11-07-2019,14759
Number of applications for Agriculture Schemes,TN,12-07-2019,16411
Number of applications for Agriculture Schemes,TN,13-07-2019,16627
Number of applications for Agriculture Schemes,TN,14-07-2019,17873
Number of applications for Agriculture Schemes,TN,15-07-2019,18157
Number of applications for Agriculture Schemes,TN,16-07-2019,19556
Number of applications for Agriculture Schemes,TN,17-07-2019,16387
Number of applications for Agriculture Schemes,TN,18-07-2019,16136
Number of applications for Agriculture Schemes,TN,19-07-2019,16001
Number of applications for Agriculture Schemes,TN,20-07-2019,19429
Number of applications for Agriculture Schemes,TN,21-07-2019,64134
Number of applications for Agriculture Schemes,TN,22-07-2019,13393
Number of applications for Agriculture Schemes,TN,23-07-2019,19259
Number of applications for Agriculture Schemes,TN,24-07-2019,17176
Number of applications for Agriculture Schemes,TN,25-07-2019,3668
Number of applications for Agriculture Schemes,TN,26-07-2019,3501
Number of applications for Agriculture Schemes,TN,27-07-2019,4678
Number of applications for Agriculture Schemes,TN,28-07-2019,5968
Number of applications for Agriculture Schemes,TN,29-07-2019,6020
Number of applications for Agriculture Schemes,TN,30-07-2019,5799
Number of applications for Agriculture Schemes,TN,31-07-2019,6612
Number of applications for Agriculture Schemes,TN,01-08-2019,6013
Number of applications for Agriculture Schemes,TN,02-08-2019,5992
Number of applications for Agriculture Schemes,TN,03-08-2019,6306
Number of applications for Agriculture Schemes,TN,04-08-2019,5982
Number of applications for Agriculture Schemes,TN,05-08-2019,6942
Number of applications for Agriculture Schemes,TN,06-08-2019,3530
Number of applications for Agriculture Schemes,TN,07-08-2019,2356
Number of applications for Agriculture Schemes,TN,08-08-2019,5662
Number of applications for Agriculture Schemes,TN,09-08-2019,6270
Number of applications for Agriculture Schemes,TN,10-08-2019,6023
Number of applications for Agriculture Schemes,TN,11-08-2019,6379
Number of applications for Agriculture Schemes,TN,12-08-2019,7479
Number of applications for Agriculture Schemes,TN,13-08-2019,7157
Number of applications for Agriculture Schemes,TN,14-08-2019,6392
Number of applications for Agriculture Schemes,TN,15-08-2019,6267
Number of applications for Agriculture Schemes,TN,16-08-2019,5141
Number of applications for Agriculture Schemes,TN,17-08-2019,6375
Number of applications for Agriculture Schemes,TN,18-08-2019,1991
Number of applications for Agriculture Schemes,TN,19-08-2019,2096
Number of applications for Agriculture Schemes,TN,20-08-2019,2581
Number of applications for Agriculture Schemes,TN,21-08-2019,3625
Number of applications for Agriculture Schemes,TN,22-08-2019,3470
Number of applications for Agriculture Schemes,TN,23-08-2019,6418
Number of applications for Agriculture Schemes,TN,24-08-2019,6997
Number of applications for Agriculture Schemes,TN,25-08-2019,6202
Number of applications for Agriculture Schemes,TN,26-08-2019,5499
Number of applications for Agriculture Schemes,TN,27-08-2019,5721
Number of applications for Agriculture Schemes,TN,28-08-2019,4961
Number of applications for Agriculture Schemes,TN,29-08-2019,7219
Number of applications for Agriculture Schemes,TN,30-08-2019,4713
Number of applications for Agriculture Schemes,TN,31-08-2019,6553
Number of applications for Agriculture Schemes,TN,01-09-2019,5403
Number of applications for Agriculture Schemes,TN,02-09-2019,5984
Number of applications for Agriculture Schemes,TN,03-09-2019,6280
Number of applications for Agriculture Schemes,TN,04-09-2019,6706
Number of applications for Agriculture Schemes,TN,05-09-2019,6846
Number of applications for Agriculture Schemes,TN,06-09-2019,4450
Number of applications for Agriculture Schemes,TN,07-09-2019,7845
Number of applications for Agriculture Schemes,TN,08-09-2019,7527
Number of applications for Agriculture Schemes,TN,09-09-2019,3064
Number of applications for Agriculture Schemes,TN,10-09-2019,6923
Number of applications for Agriculture Schemes,TN,11-09-2019,4741
Number of applications for Agriculture Schemes,TN,12-09-2019,5134
Number of applications for Agriculture Schemes,KL,13-09-2019,6968
Number of applications for Agriculture Schemes,KL,14-09-2019,5651
Number of applications for Agriculture Schemes,KL,15-09-2019,7517
Number of applications for Agriculture Schemes,KL,16-09-2019,5282
Number of applications for Agriculture Schemes,KL,17-09-2019,6727
Number of applications for Agriculture Schemes,KL,18-09-2019,9128
Number of applications for Agriculture Schemes,KL,19-09-2019,9471
Number of applications for Agriculture Schemes,KL,20-09-2019,7769
Number of applications for Agriculture Schemes,KL,21-09-2019,9149
Number of applications for Agriculture Schemes,KL,22-09-2019,8992
Number of applications for Agriculture Schemes,KL,23-09-2019,9392
Number of applications for Agriculture Schemes,KL,24-09-2019,11847
Number of applications for Agriculture Schemes,KL,25-09-2019,12033
Number of applications for Agriculture Schemes,KL,26-09-2019,13752
Number of applications for Agriculture Schemes,KL,27-09-2019,6348
Number of applications for Agriculture Schemes,KL,28-09-2019,9573
Number of applications for Agriculture Schemes,KL,29-09-2019,9506
Number of applications for Agriculture Schemes,KL,30-09-2019,12224
Number of applications for Agriculture Schemes,KL,01-10-2019,10911
Number of applications for Agriculture Schemes,KL,02-10-2019,10987
Number of applications for Agriculture Schemes,KL,03-10-2019,18925
Number of applications for Agriculture Schemes,KL,04-10-2019,11349
Number of applications for Agriculture Schemes,KL,05-10-2019,10101
Number of applications for Agriculture Schemes,KL,06-10-2019,10732
Number of applications for Agriculture Schemes,KL,07-10-2019,9715
Number of applications for Agriculture Schemes,KL,08-10-2019,11310
Number of applications for Agriculture Schemes,KL,09-10-2019,3390
Number of applications for Agriculture Schemes,KL,10-10-2019,4243
Number of applications for Agriculture Schemes,KL,11-10-2019,5141
Number of applications for Agriculture Schemes,KL,12-10-2019,7131
Number of applications for Agriculture Schemes,KL,13-10-2019,6415
Number of applications for Agriculture Schemes,KL,14-10-2019,11022
Number of applications for Agriculture Schemes,KL,15-10-2019,10928
Number of applications for Agriculture Schemes,KL,16-10-2019,10099
Number of applications for Agriculture Schemes,KL,17-10-2019,9483
Number of applications for Agriculture Schemes,KL,18-10-2019,9133
Number of applications for Agriculture Schemes,KL,19-10-2019,8583
Number of applications for Agriculture Schemes,KL,20-10-2019,11746
Number of applications for Agriculture Schemes,KL,21-10-2019,6494
Number of applications for Agriculture Schemes,KL,22-10-2019,91
Number of applications for Agriculture Schemes,KL,23-10-2019,8632
Number of applications for Agriculture Schemes,KL,24-10-2019,9123
Number of applications for Agriculture Schemes,KL,25-10-2019,9594
Number of applications for Agriculture Schemes,KL,26-10-2019,10137
Number of applications for Agriculture Schemes,KL,27-10-2019,9190
Number of applications for Agriculture Schemes,KL,28-10-2019,10515
Number of applications for Agriculture Schemes,MH,29-10-2019,9433
Number of applications for Agriculture Schemes,MH,30-10-2019,9417
Number of applications for Agriculture Schemes,MH,31-10-2019,9745
Number of applications for Agriculture Schemes,MH,01-11-2019,11643
Number of applications for Agriculture Schemes,MH,02-11-2019,7534
Number of applications for Agriculture Schemes,MH,03-11-2019,7980
Number of applications for Agriculture Schemes,MH,04-11-2019,10059
Number of applications for Agriculture Schemes,MH,05-11-2019,9242
Number of applications for Agriculture Schemes,MH,06-11-2019,2468
Number of applications for Agriculture Schemes,MH,07-11-2019,4420
Number of applications for Agriculture Schemes,MH,08-11-2019,5682
Number of applications for Agriculture Schemes,MH,09-11-2019,6524
Number of applications for Agriculture Schemes,MH,10-11-2019,7032
Number of applications for Agriculture Schemes,MH,11-11-2019,6535
Number of applications for Agriculture Schemes,MH,12-11-2019,8028
Number of applications for Agriculture Schemes,MH,13-11-2019,8127
Number of applications for Agriculture Schemes,MH,14-11-2019,7362
Number of applications for Agriculture Schemes,MH,15-11-2019,8823
Number of applications for Agriculture Schemes,MH,16-11-2019,9187
Number of applications for Agriculture Schemes,MH,17-11-2019,10298
Number of applications for Agriculture Schemes,MH,18-11-2019,1234
Number of applications for Agriculture Schemes,MH,19-11-2019,7510
Number of applications for Agriculture Schemes,MH,20-11-2019,7541
Number of applications for Agriculture Schemes,MH,21-11-2019,9190
Number of applications for Agriculture Schemes,MH,22-11-2019,8361
Number of applications for Agriculture Schemes,MH,23-11-2019,8864
Number of applications for Agriculture Schemes,MH,24-11-2019,10465
Number of applications for Agriculture Schemes,MH,25-11-2019,9844
Number of applications for Agriculture Schemes,MH,26-11-2019,8431
Number of applications for Agriculture Schemes,MH,27-11-2019,8520
Number of applications for Agriculture Schemes,MH,28-11-2019,7610
Number of applications for Agriculture Schemes,MH,29-11-2019,8915
Number of applications for Agriculture Schemes,MH,30-11-2019,2781
Number of applications for Agriculture Schemes,MH,01-12-2019,3213
Number of applications for Agriculture Schemes,MH,02-12-2019,1278
Number of applications for Agriculture Schemes,MH,03-12-2019,4902
Number of applications for Agriculture Schemes,MH,04-12-2019,4375
Number of applications for Agriculture Schemes,MH,05-12-2019,8679
Number of applications for Agriculture Schemes,MH,06-12-2019,9103
Number of applications for Agriculture Schemes,MH,07-12-2019,8590
Number of applications for Agriculture Schemes,MH,08-12-2019,7594
Number of applications for Agriculture Schemes,MH,09-12-2019,7259
Number of applications for Agriculture Schemes,MH,10-12-2019,6534
Number of applications for Agriculture Schemes,MH,11-12-2019,9310
Number of applications for Agriculture Schemes,MH,12-12-2019,5659
Number of applications for Agriculture Schemes,MH,13-12-2019,6134
Number of applications for Agriculture Schemes,MH,14-12-2019,6780
Number of applications for Agriculture Schemes,MH,15-12-2019,7637
Number of applications for Agriculture Schemes,MH,16-12-2019,7396
Number of applications for Agriculture Schemes,MH,17-12-2019,2176
Number of applications for Agriculture Schemes,MH,18-12-2019,9088
Number of applications for Agriculture Schemes,MH,19-12-2019,10644
Number of applications for Agriculture Schemes,MH,20-12-2019,8827
Number of applications for Agriculture Schemes,MH,21-12-2019,8274
Number of applications for Agriculture Schemes,MH,22-12-2019,9053
Number of applications for Agriculture Schemes,MH,23-12-2019,10881
Number of applications for Agriculture Schemes,MH,24-12-2019,6699
Number of applications for Agriculture Schemes,MH,25-12-2019,6458
Number of applications for Agriculture Schemes,MH,26-12-2019,8035
Number of applications for Agriculture Schemes,MH,27-12-2019,6407
Number of applications for Agriculture Schemes,MH,28-12-2019,9425
Number of applications for Agriculture Schemes,MH,29-12-2019,9003
Number of applications for Agriculture Schemes,MH,30-12-2019,10747
Number of applications for Agriculture Schemes,MH,31-12-2019,12898
Number of applications for Agriculture Schemes,MH,01-01-2020,12863
Number of applications for Agriculture Schemes,JK,02-01-2020,11062
Number of applications for Agriculture Schemes,JK,03-01-2020,13564
Number of applications for Agriculture Schemes,JK,04-01-2020,14081
Number of applications for Agriculture Schemes,JK,05-01-2020,12738
Number of applications for Agriculture Schemes,JK,06-01-2020,12874
Number of applications for Agriculture Schemes,JK,07-01-2020,14728
Number of applications for Agriculture Schemes,JK,08-01-2020,15537
Number of applications for Agriculture Schemes,JK,09-01-2020,8862
Number of applications for Agriculture Schemes,JK,10-01-2020,12436
Number of applications for Agriculture Schemes,JK,11-01-2020,12949
Number of applications for Agriculture Schemes,JK,12-01-2020,15110
Number of applications for Agriculture Schemes,JK,13-01-2020,14773
Number of applications for Agriculture Schemes,JK,14-01-2020,14351
Number of applications for Agriculture Schemes,JK,15-01-2020,14982
Number of applications for Agriculture Schemes,JK,16-01-2020,14751
Number of applications for Agriculture Schemes,JK,17-01-2020,12754
Number of applications for Agriculture Schemes,JK,18-01-2020,12943
Number of applications for Agriculture Schemes,JK,19-01-2020,10698
Number of applications for Agriculture Schemes,JK,20-01-2020,12309
Number of applications for Agriculture Schemes,JK,21-01-2020,3928
Number of applications for Agriculture Schemes,JK,22-01-2020,4611
Number of applications for Agriculture Schemes,JK,23-01-2020,2084
Number of applications for Agriculture Schemes,JK,24-01-2020,7833
Number of applications for Agriculture Schemes,JK,25-01-2020,7728
Number of applications for Agriculture Schemes,JK,26-01-2020,14184
Number of applications for Agriculture Schemes,JK,27-01-2020,15128
Number of applications for Agriculture Schemes,JK,28-01-2020,13701
Number of applications for Agriculture Schemes,JK,29-01-2020,12764
Number of applications for Agriculture Schemes,JK,30-01-2020,11569
Number of applications for Agriculture Schemes,JK,31-01-2020,10464
Number of applications for Agriculture Schemes,JK,01-02-2020,15253
Number of applications for Agriculture Schemes,JK,02-02-2020,8445
Number of applications for Agriculture Schemes,JK,03-02-2020,10734
Number of applications for Agriculture Schemes,JK,04-02-2020,12851
Number of applications for Agriculture Schemes,JK,05-02-2020,13264
Number of applications for Agriculture Schemes,JK,06-02-2020,13544
Number of applications for Agriculture Schemes,JK,07-02-2020,16036
Number of applications for Agriculture Schemes,JK,08-02-2020,15899
Number of applications for Agriculture Schemes,JK,09-02-2020,16941
Number of applications for Agriculture Schemes,JK,10-02-2020,15174
Number of applications for Agriculture Schemes,JK,11-02-2020,14425
Number of applications for Agriculture Schemes,JK,12-02-2020,17246
Number of applications for Agriculture Schemes,JK,13-02-2020,16558
Number of applications for Agriculture Schemes,JK,14-02-2020,10588
Number of applications for Agriculture Schemes,JK,15-02-2020,11564
Number of applications for Agriculture Schemes,JK,16-02-2020,16627
Number of applications for Agriculture Schemes,JK,17-02-2020,12954
Number of applications for Agriculture Schemes,JK,18-02-2020,5039
Number of applications for Agriculture Schemes,JK,19-02-2020,4477
Number of applications for Agriculture Schemes,JK,20-02-2020,5448
Number of applications for Agriculture Schemes,JK,21-02-2020,7522
Number of applications for Agriculture Schemes,JK,22-02-2020,7569
Number of applications for Agriculture Schemes,PB,23-02-2020,6763
Number of applications for Agriculture Schemes,PB,24-02-2020,8247
Number of applications for Agriculture Schemes,PB,25-02-2020,7410
Number of applications for Agriculture Schemes,PB,26-02-2020,6722
Number of applications for Agriculture Schemes,PB,27-02-2020,8468
Number of applications for Agriculture Schemes,PB,28-02-2020,8666
Number of applications for Agriculture Schemes,PB,01-03-2020,9413
Number of applications for Agriculture Schemes,PB,02-03-2020,4292
Number of applications for Agriculture Schemes,PB,03-03-2020,2842
Number of applications for Agriculture Schemes,PB,04-03-2020,7414
Number of applications for Agriculture Schemes,PB,05-03-2020,8267
Number of applications for Agriculture Schemes,PB,06-03-2020,7993
Number of applications for Agriculture Schemes,PB,07-03-2020,7688
Number of applications for Agriculture Schemes,PB,08-03-2020,8956
Number of applications for Agriculture Schemes,PB,09-03-2020,8337
Number of applications for Agriculture Schemes,PB,10-03-2020,7552
Number of applications for Agriculture Schemes,PB,11-03-2020,7721
Number of applications for Agriculture Schemes,PB,12-03-2020,6862
Number of applications for Agriculture Schemes,PB,13-03-2020,7581
Number of applications for Agriculture Schemes,PB,14-03-2020,2140
Number of applications for Agriculture Schemes,PB,15-03-2020,2771
Number of applications for Agriculture Schemes,PB,16-03-2020,3325
Number of applications for Agriculture Schemes,PB,17-03-2020,4061
Number of applications for Agriculture Schemes,PB,18-03-2020,4063
Number of applications for Agriculture Schemes,PB,19-03-2020,7749
Number of applications for Agriculture Schemes,PB,20-03-2020,8634
Number of applications for Agriculture Schemes,PB,21-03-2020,6972
Number of applications for Agriculture Schemes,PB,22-03-2020,6706
Number of applications for Agriculture Schemes,PB,23-03-2020,1298
Number of applications for Agriculture Schemes,PB,24-03-2020,5725
Number of applications for Agriculture Schemes,PB,25-03-2020,7607
Number of applications for Agriculture Schemes,PB,26-03-2020,4517
Number of applications for Agriculture Schemes,PB,27-03-2020,5109
Number of applications for Agriculture Schemes,PB,28-03-2020,6103
Number of applications for Agriculture Schemes,PB,29-03-2020,6475
Number of applications for Agriculture Schemes,PB,30-03-2020,6661
Number of applications for Agriculture Schemes,PB,31-03-2020,7157
Number of applications for Agriculture Schemes,PB,01-04-2020,7412
Number of applications for Agriculture Schemes,PB,02-04-2020,7804
Number of applications for Agriculture Schemes,PB,03-04-2020,7204
Number of applications for Agriculture Schemes,PB,04-04-2020,6574
Number of applications for Agriculture Schemes,PB,05-04-2020,6989
Number of applications for Agriculture Schemes,PB,06-04-2020,7476
Number of applications for Agriculture Schemes,PB,07-04-2020,5162
Number of applications for Agriculture Schemes,PB,08-04-2020,5118
Number of applications for Agriculture Schemes,PB,09-04-2020,6976
Number of applications for Agriculture Schemes,PB,10-04-2020,5950
Number of applications for Agriculture Schemes,PB,11-04-2020,4200
Number of applications for Agriculture Schemes,PB,12-04-2020,3077
Number of applications for Agriculture Schemes,PB,13-04-2020,3863
Number of applications for Agriculture Schemes,PB,14-04-2020,5722
Number of applications for Agriculture Schemes,PB,15-04-2020,1234
Number of applications for Agriculture Schemes,PB,16-04-2020,5301
Number of applications for Agriculture Schemes,PB,17-04-2020,6565
Number of applications for Agriculture Schemes,PB,18-04-2020,7395
Number of applications for Agriculture Schemes,PB,19-04-2020,8745
Number of applications for Agriculture Schemes,PB,20-04-2020,8362
Number of applications for Agriculture Schemes,PB,21-04-2020,9125
Number of applications for Agriculture Schemes,PB,22-04-2020,10518
Number of applications for Agriculture Schemes,PB,23-04-2020,5408
Number of applications for Agriculture Schemes,PB,24-04-2020,7724
Number of applications for Agriculture Schemes,PB,25-04-2020,7719
Number of applications for Agriculture Schemes,PB,26-04-2020,9253
Number of applications for Agriculture Schemes,PB,27-04-2020,8154
Number of applications for Agriculture Schemes,PB,28-04-2020,8813
Number of applications for Agriculture Schemes,PB,29-04-2020,10087
Number of applications for Agriculture Schemes,PB,30-04-2020,2452
Number of applications for Agriculture Schemes,PB,01-05-2020,7809
Number of applications for Agriculture Schemes,PB,02-05-2020,7727
Number of applications for Agriculture Schemes,PB,03-05-2020,6877
Number of applications for Agriculture Schemes,PB,04-05-2020,6660
Number of applications for Agriculture Schemes,PB,05-05-2020,2106
Number of applications for Agriculture Schemes,OD,06-05-2020,2945
Number of applications for Agriculture Schemes,OD,07-05-2020,3492
Number of applications for Agriculture Schemes,OD,08-05-2020,4751
Number of applications for Agriculture Schemes,OD,09-05-2020,4108
Number of applications for Agriculture Schemes,OD,10-05-2020,8341
Number of applications for Agriculture Schemes,OD,11-05-2020,8245
Number of applications for Agriculture Schemes,OD,12-05-2020,7001
Number of applications for Agriculture Schemes,OD,13-05-2020,6536
Number of applications for Agriculture Schemes,OD,14-05-2020,1244
Number of applications for Agriculture Schemes,OD,15-05-2020,5415
Number of applications for Agriculture Schemes,OD,16-05-2020,7434
Number of applications for Agriculture Schemes,OD,17-05-2020,4555
Number of applications for Agriculture Schemes,OD,18-05-2020,5399
Number of applications for Agriculture Schemes,OD,19-05-2020,6194
Number of applications for Agriculture Schemes,OD,20-05-2020,6969
Number of applications for Agriculture Schemes,OD,21-05-2020,6833
Number of applications for Agriculture Schemes,OD,22-05-2020,7015
Number of applications for Agriculture Schemes,OD,23-05-2020,7257
Number of applications for Agriculture Schemes,OD,24-05-2020,7863
Number of applications for Agriculture Schemes,OD,25-05-2020,1244
Number of applications for Agriculture Schemes,OD,26-05-2020,6774
Number of applications for Agriculture Schemes,OD,27-05-2020,7819
Number of applications for Agriculture Schemes,OD,28-05-2020,8503
Number of applications for Agriculture Schemes,OD,29-05-2020,5589
Number of applications for Agriculture Schemes,OD,30-05-2020,6403
Number of applications for Agriculture Schemes,OD,31-05-2020,9029
Number of applications for Agriculture Schemes,OD,01-06-2020,7671
Number of applications for Agriculture Schemes,OD,02-06-2020,8046
Number of applications for Agriculture Schemes,OD,03-06-2020,7282
Number of applications for Agriculture Schemes,OD,04-06-2020,9333
Number of applications for Agriculture Schemes,OD,05-06-2020,11966
Number of applications for Agriculture Schemes,OD,06-06-2020,67323
Number of applications for Agriculture Schemes,OD,07-06-2020,11255
Number of applications for Agriculture Schemes,OD,08-06-2020,13419
Number of applications for Agriculture Schemes,OD,09-06-2020,13730
Number of applications for Agriculture Schemes,OD,10-06-2020,12569
Number of applications for Agriculture Schemes,OD,11-06-2020,13716
Number of applications for Agriculture Schemes,OD,12-06-2020,14489
Number of applications for Agriculture Schemes,OD,13-06-2020,17464
Number of applications for Agriculture Schemes,OD,14-06-2020,7374
Number of applications for Agriculture Schemes,OD,15-06-2020,11861
Number of applications for Agriculture Schemes,OD,16-06-2020,12937
Number of applications for Agriculture Schemes,OD,17-06-2020,15549
Number of applications for Agriculture Schemes,OD,18-06-2020,15085
Number of applications for Agriculture Schemes,OD,19-06-2020,15457
Number of applications for Agriculture Schemes,OD,20-06-2020,17539
Number of applications for Agriculture Schemes,OD,21-06-2020,12357
Number of applications for Agriculture Schemes,OD,22-06-2020,14657
Number of applications for Agriculture Schemes,OD,23-06-2020,14839
Number of applications for Agriculture Schemes,OD,24-06-2020,12817
Number of applications for Agriculture Schemes,OD,25-06-2020,13741
Number of applications for Agriculture Schemes,OD,26-06-2020,4134
Number of applications for Agriculture Schemes,OD,27-06-2020,5551
Number of applications for Agriculture Schemes,OD,28-06-2020,6617
Number of applications for Agriculture Schemes,OD,29-06-2020,8283
Number of applications for Agriculture Schemes,OD,30-06-2020,7593
Number of applications for Agriculture Schemes,OD,01-07-2020,15516
Number of applications for Agriculture Schemes,OD,02-07-2020,16493
Number of applications for Agriculture Schemes,OD,03-07-2020,14743
Number of applications for Agriculture Schemes,MH,04-07-2020,13181
Number of applications for Agriculture Schemes,MH,05-07-2020,12403
Number of applications for Agriculture Schemes,MH,06-07-2020,11131
Number of applications for Agriculture Schemes,MH,07-07-2020,15910
Number of applications for Agriculture Schemes,MH,08-07-2020,9251
Number of applications for Agriculture Schemes,MH,09-07-2020,93752
Number of applications for Agriculture Schemes,MH,10-07-2020,12136
Number of applications for Agriculture Schemes,MH,11-07-2020,12959
Number of applications for Agriculture Schemes,MH,12-07-2020,13320
Number of applications for Agriculture Schemes,MH,13-07-2020,14521
Number of applications for Agriculture Schemes,MH,14-07-2020,14587
Number of applications for Agriculture Schemes,MH,15-07-2020,15793
Number of applications for Agriculture Schemes,MH,16-07-2020,72155
Number of applications for Agriculture Schemes,MH,17-07-2020,12797
Number of applications for Agriculture Schemes,MH,18-07-2020,13231
Number of applications for Agriculture Schemes,MH,19-07-2020,15852
Number of applications for Agriculture Schemes,MH,20-07-2020,10602
Number of applications for Agriculture Schemes,MH,21-07-2020,11360
Number of applications for Agriculture Schemes,MH,22-07-2020,15144
Number of applications for Agriculture Schemes,MH,23-07-2020,11985
Number of applications for Agriculture Schemes,MH,24-07-2020,6121
Number of applications for Agriculture Schemes,MH,25-07-2020,4665
Number of applications for Agriculture Schemes,MH,26-07-2020,5966
Number of applications for Agriculture Schemes,MH,27-07-2020,8016
Number of applications for Agriculture Schemes,MH,28-07-2020,3735
Number of applications for Agriculture Schemes,MH,29-07-2020,6787
Number of applications for Agriculture Schemes,MH,30-07-2020,8232
Number of applications for Agriculture Schemes,MH,31-07-2020,8077
Number of applications for Agriculture Schemes,MH,01-08-2020,8217
Number of applications for Agriculture Schemes,MH,02-08-2020,10542
Number of applications for Agriculture Schemes,MH,03-08-2020,10445
Number of applications for Agriculture Schemes,MH,04-08-2020,11378
Number of applications for Agriculture Schemes,MH,05-08-2020,5144
